IC50_uM
"[0.06, 0.06]"
"[0.51, 0.51]"
"[10.2, 10.2]"
"[0.06, 0.06]"
"[0.08, 0.08]"
"[0.04, 0.04]"
"[2.87, 2.87]"
"[0.25, 0.25]"
"(100.0, inf)"
"(100.0, inf)"
"(100.0, inf)"
"(100.0, inf)"
"(100.0, inf)"
"[0.014, 0.014]"
"(100.0, inf)"
"(100.0, inf)"
"(100.0, inf)"
"(100.0, inf)"
"[0.12, 0.12]"
"[1.61, 1.61]"
"[1.02, 1.02]"
"[0.06, 0.06]"
"[3.23, 3.23]"
"[0.75, 0.75]"
"[0.02, 0.02]"
"[0.05, 0.05]"
"(100.0, inf)"
"[0.47, 0.47]"
"[3.88, 3.88]"
"[0.03, 0.03]"
"[0.08, 0.08]"
"[1.44, 1.44]"
"[0.14, 0.14]"
"(100.0, inf)"
"[0.52, 0.52]"
"[0.24, 0.24]"
"[0.11, 0.11]"
"[0.1, 0.1]"
"[0.12, 0.12]"
"[0.16, 0.16]"
"[0.57, 0.57]"
"[1.47, 1.47]"
"[0.7, 0.7]"
"[0.16, 0.16]"
"(100.0, inf)"
"[5.7, 5.7]"
"[0.01, 0.01]"
"[0.01, 0.01]"
"[0.04, 0.04]"
"[0.04, 0.04]"
"[0.06, 0.06]"
"[0.12, 0.12]"
"[0.08, 0.08]"
"[0.06, 0.06]"
"[0.21, 0.21]"
"[0.35, 0.35]"
"[0.35, 0.35]"
"[68.1, 68.1]"
"[3.2, 3.2]"
"[0.92, 0.92]"
"[5.89, 5.89]"
"[0.58, 0.58]"
"[0.008, 0.008]"
"[0.03, 0.03]"
"[0.007, 0.007]"
"[0.03, 0.03]"
"[0.9, 0.9]"
"[0.4, 0.4]"
"[0.8, 0.8]"
"(100.0, inf)"
"[0.1, 0.1]"
"[0.2, 0.2]"
"[0.15, 0.15]"
"[0.13, 0.13]"
"[0.04, 0.04]"
"[0.32, 0.32]"
"[0.33, 0.33]"
"[0.66, 0.66]"
"[0.03, 0.03]"
"[0.11, 0.11]"
"[0.17, 0.17]"
"[0.09, 0.09]"
"[0.25, 0.25]"
"[1.04, 1.04]"
"[0.17, 0.17]"
"[0.12, 0.12]"
"[0.33, 0.33]"
"[0.08, 0.08]"
"[0.11, 0.11]"
"[0.96, 0.96]"
"(100.0, inf)"
"[0.17, 0.17]"
"(100.0, inf)"
"(100.0, inf)"
"[0.03, 0.03]"
"[0.02, 0.02]"
"[0.03, 0.03]"
"[0.01, 0.01]"
"[0.003, 0.003]"
"[0.02, 0.02]"
"[0.03, 0.03]"
"[0.04, 0.04]"
"[0.03, 0.03]"
"[0.46, 0.46]"
"[0.17, 0.17]"
"[0.14, 0.14]"
"[0.09, 0.09]"
"[0.72, 0.72]"
"[12.2, 12.2]"
"[0.14, 0.14]"
"[0.03, 0.03]"
"(100.0, inf)"
"[0.61, 0.61]"
"[0.41, 0.41]"
"[1.6, 1.6]"
"[0.23, 0.23]"
"[5.7, 5.7]"
"(100.0, inf)"
"(100.0, inf)"
"(100.0, inf)"
"[0.24, 0.24]"
"[0.03, 0.03]"
"[0.05, 0.05]"
"[3.72, 3.72]"
"[8.35, 8.35]"
"[0.32, 0.32]"
"(100.0, inf)"
"[1.54, 1.54]"
"[1.69, 1.69]"
"[9.6, 9.6]"
"[1.8, 1.8]"
"[1.8, 1.8]"
"[54.0, 54.0]"
"[1.2, 1.2]"
"[37.6, 37.6]"
"[0.95, 0.95]"
"[0.44, 0.44]"
"[2.8, 2.8]"
"[0.29, 0.29]"
"[0.51, 0.51]"
"[51.0, 51.0]"
"(100.0, inf)"
"[0.34, 0.34]"
"[20.7, 20.7]"
"[24.4, 24.4]"
"[79.0, 79.0]"
"(100.0, inf)"
"[93.4, 93.4]"
"[1.83, 1.83]"
"[2.9, 2.9]"
"[1.3, 1.3]"
"[0.53, 0.53]"
"[5.8, 5.8]"
"[0.42, 0.42]"
"[0.73, 0.73]"
"[0.44, 0.44]"
"[1.54, 1.54]"
"[1.2, 1.2]"
"[1.7, 1.7]"
"[0.63, 0.63]"
"[1.1, 1.1]"
"[0.28, 0.28]"
"[0.47, 0.47]"
"[51.0, 51.0]"
"[0.47, 0.47]"
"[0.07, 0.07]"
"[0.026, 0.026]"
"[1.1, 1.1]"
"[0.94, 0.94]"
"[0.52, 0.52]"
"[0.43, 0.43]"
"[0.11, 0.11]"
"[4.15, 4.15]"
"[0.41, 0.41]"
"[0.026, 0.026]"
"[0.005, 0.005]"
"[0.003, 0.003]"
"[0.003, 0.003]"
"[2.25, 2.25]"
"[0.865, 0.865]"
"[0.053, 0.053]"
"[77.9, 77.9]"
"[3.2, 3.2]"
"[6.6, 6.6]"
"[0.221, 0.221]"
"[0.075, 0.075]"
"[0.015, 0.015]"
"[0.007, 0.007]"
"[0.067, 0.067]"
"[65.0, 65.0]"
"[0.051, 0.051]"
"[0.051, 0.051]"
"[0.03, 0.03]"
"(100.0, inf)"
"(100.0, inf)"
"[0.01, 0.01]"
"[0.12, 0.12]"
"[0.14, 0.14]"
"[0.017, 0.017]"
"[0.021, 0.021]"
"[0.005, 0.005]"
"[0.76, 0.76]"
"[0.007, 0.007]"
"[0.018, 0.018]"
"[0.01, 0.01]"
"[2.9, 2.9]"
"[0.003, 0.003]"
"[0.002, 0.002]"
"[0.002, 0.002]"
"[0.016, 0.016]"
"[0.009, 0.009]"
"[0.009, 0.009]"
"[0.002, 0.002]"
"[0.002, 0.002]"
"[0.15, 0.15]"
"[0.17, 0.17]"
"[0.26, 0.26]"
"[0.36, 0.36]"
"[0.14, 0.14]"
"(100.0, inf)"
"[11.4, 11.4]"
"[0.061, 0.061]"
"[0.017, 0.017]"
"[0.006, 0.006]"
"[0.033, 0.033]"
"[0.019, 0.019]"
"[0.014, 0.014]"
"[0.01, 0.01]"
"[0.005, 0.005]"
"[0.021, 0.021]"
"[0.019, 0.019]"
"(100.0, inf)"
"[0.013, 0.013]"
"[0.34, 0.34]"
"[0.34, 0.34]"
"[0.012, 0.012]"
"[0.007, 0.007]"
"[0.013, 0.013]"
"[0.023, 0.023]"
"[0.006, 0.006]"
"[0.008, 0.008]"
"[0.004, 0.004]"
"[0.002, 0.002]"
"[0.002, 0.002]"
"[0.013, 0.013]"
"[0.013, 0.013]"
"[0.021, 0.021]"
"[0.005, 0.005]"
"[0.065, 0.065]"
"[0.032, 0.032]"
"[0.004, 0.004]"
"[0.004, 0.004]"
"[0.003, 0.003]"
"[0.005, 0.005]"
"[0.003, 0.003]"
"[0.006, 0.006]"
"[0.24, 0.24]"
"[0.083, 0.083]"
"(100.0, inf)"
"(100.0, inf)"
"[0.17, 0.17]"
"[0.051, 0.051]"
"[52.3, 52.3]"
"[0.33, 0.33]"
